2.560000 0.548689  -9.32738393
2.570000 0.550720  -9.32851100
2.580000 0.552747  -9.32959186
2.590000 0.554767  -9.33062009
2.600000 0.556775  -9.33159024
2.610000 0.558769  -9.33249787
2.620000 0.560744  -9.33333946
2.630000 0.562698  -9.33411236
2.640000 0.564627  -9.33481468
2.650000 0.566528  -9.33544527
2.660000 0.568399  -9.33600362
2.670000 0.570236  -9.33648980
2.680000 0.572037  -9.33690439
2.690000 0.573800  -9.33724841
2.700000 0.575522  -9.33752328
2.710000 0.577202  -9.33773071
2.720000 0.578836  -9.33787270
2.730000 0.580422  -9.33795149
2.740000 0.581960  -9.33796947
2.750000 0.583448  -9.33792917
2.760000 0.584882  -9.33783325
2.770000 0.586263  -9.33768442
2.780000 0.587589  -9.33748544
2.790000 0.588857  -9.33723910
2.800000 0.590068  -9.33694818
2.810000 0.591219  -9.33661546
2.820000 0.592310  -9.33624368
2.830000 0.593340  -9.33583557
2.840000 0.594307  -9.33539378
2.850000 0.595211  -9.33492094
2.860000 0.596051  -9.33441961
2.870000 0.596826  -9.33389229
2.880000 0.597536  -9.33334144
2.890000 0.598180  -9.33276946
2.900000 0.598757  -9.33217867
2.910000 0.599268  -9.33157138
2.920000 0.599710  -9.33094982
2.930000 0.600086  -9.33031620
2.940000 0.600393  -9.32967267
2.950000 0.600631  -9.32902136
2.960000 0.600802  -9.32836439
2.970000 0.600903  -9.32770384
2.980000 0.600936  -9.32704178
2.990000 0.600900  -9.32638029
3.000000 0.600796  -9.32572143
3.010000 0.600622  -9.32506728
3.020000 0.600380  -9.32441994
3.030000 0.600070  -9.32378152
3.040000 0.599692  -9.32315416
3.050000 0.599246  -9.32254005
3.060000 0.598733  -9.32194141
3.070000 0.598153  -9.32136048
3.080000 0.597506  -9.32079959
3.090000 0.596793  -9.32026109
3.100000 0.596015  -9.31974740
3.110000 0.595172  -9.31926100
3.120000 0.594265  -9.31880441
3.130000 0.593295  -9.31838022
3.140000 0.592263  -9.31799106
3.150000 0.591169  -9.31763961
3.160000 0.590015  -9.31732859
3.170000 0.588802  -9.31706076
3.180000 0.587531  -9.31683888
3.190000 0.586203  -9.31666574
3.200000 0.584820  -9.31654408
3.210000 0.583383  -9.31647665
3.220000 0.581893  -9.31646609
3.230000 0.580353  -9.31651500
3.240000 0.578764  -9.31662582
3.250000 0.577128  -9.31680086
3.260000 0.575447  -9.31704220
3.270000 0.573723  -9.31735169
3.280000 0.571959  -9.31773089
3.290000 0.570156  -9.31818098
3.300000 0.568317  -9.31870276
3.310000 0.566445  -9.31929652
3.320000 0.564542  -9.31996203
3.330000 0.562612  -9.32069844
3.340000 0.560657  -9.32150422
3.350000 0.558681  -9.32237707
3.360000 0.556687  -9.32331389
3.370000 0.554678  -9.32431068
3.380000 0.552658  -9.32536249
3.390000 0.550630  -9.32646335
3.400000 0.548599  -9.32760628
3.410000 0.546569  -9.32878319
3.420000 0.544543  -9.32998492
3.430000 0.542526  -9.33120122
3.440000 0.540522  -9.33242079
3.450000 0.538536  -9.33363134
3.460000 0.536572  -9.33481966
3.470000 0.534636  -9.33597175
3.480000 0.532730  -9.33707297
3.490000 0.530862  -9.33810821
3.500000 0.529034  -9.33906213
3.510000 0.527253  -9.33991940
3.520000 0.525523  -9.34066496
3.530000 0.523849  -9.34128439
3.540000 0.522236  -9.34176416
3.550000 0.520688  -9.34209203
3.560000 0.519210  -9.34225737
3.570000 0.517807  -9.34225152
3.580000 0.516484  -9.34206807
3.590000 0.515244  -9.34170318
3.600000 0.514091  -9.34115585
